"","AU","AF","TI","SO","LA","DE","ID","Z9","U1","U2","PU","PY","DI","WC","ANIMAL","FMRI_AB","JOUR","IF"
"21","Isbell, LM; Rovenpor, DR; Lair, EC","Isbell, Linda M.; Rovenpor, Daniel R.; Lair, Elicia C.","The Impact of Negative Emotions on Self-Concept Abstraction Depends on Accessible Information Processing Styles","EMOTION","English","affect-as-cognitive-feedback; affect-as-information; affect and information processing; negative affect; self","DECREASE MESSAGE SCRUTINY; SOCIAL JUDGMENT; POSITIVE AFFECT; IMPRESSION-FORMATION; MECHANICAL TURK; HAPPY PEOPLE; MOOD; ANGER; PERCEPTION; APPRAISAL",2,4,10,"AMER PSYCHOLOGICAL ASSOC",2016,"10.1037/emo0000193","Psychology, Experimental",FALSE,FALSE,"EMOTION",3.251
"24","Sanchez, A; Everaert, J; Koster, EHW","Sanchez, Alvaro; Everaert, Jonas; Koster, Ernst H. W.","Attention Training Through Gaze-Contingent Feedback: Effects on Reappraisal and Negative Emotions","EMOTION","English","selective attention; attentional control; reappraisal; negative emotions; attention bias modification","COGNITIVE REAPPRAISAL; EXPRESSIVE SUPPRESSION; DEPRESSION; BIAS; STRATEGIES; MODEL; VULNERABILITY; STIMULI; ANXIETY; THREAT",2,7,27,"AMER PSYCHOLOGICAL ASSOC",2016,"10.1037/emo0000198","Psychology, Experimental",FALSE,FALSE,"EMOTION",3.251
"25","Harmon-Jones, C; Bastian, B; Harmon-Jones, E","Harmon-Jones, Cindy; Bastian, Brock; Harmon-Jones, Eddie","Detecting Transient Emotional Responses With Improved Self-Report Measures and Instructions","EMOTION","English","discrete emotions; dimensions of emotion; measurement; self-report","MORTALITY SALIENCE; TERROR MANAGEMENT; SOCIAL EXCLUSION; MOTIVATION; ACTIVATION; DYNAMICS; ANGER",1,0,7,"AMER PSYCHOLOGICAL ASSOC",2016,"10.1037/emo0000216","Psychology, Experimental",FALSE,FALSE,"EMOTION",3.251
"28","Padgett, CR; Summers, MJ; Skilbeck, CE","Padgett, Christine R.; Summers, Mathew J.; Skilbeck, Clive E.","Is APOE epsilon 4 Associated With Poorer Cognitive Outcome Following Traumatic Brain Injury? A Meta-Analysis","NEUROPSYCHOLOGY","English","traumatic brain injury; apolipoprotein E; cognitive function; executive function; memory","APOLIPOPROTEIN-E POLYMORPHISM; ENVIRONMENT INTERACTION RESEARCH; GLASGOW COMA SCALE; MILD HEAD-INJURY; ALZHEIMERS-DISEASE; POSTTRAUMATIC AMNESIA; OLDER-ADULTS; ANTAGONISTIC PLEIOTROPY; SUBARACHNOID HEMORRHAGE; COMPENSATORY MECHANISM",2,3,17,"AMER PSYCHOLOGICAL ASSOC",2016,"10.1037/neu0000270.supp","Psychology, Clinical; Neurosciences; Psychology",FALSE,FALSE,"NEUROPSYCHOLOGY",3.286
"29","Fischer-Baum, S; Miozzo, M; Laiacona, M; Capitani, E","Fischer-Baum, Simon; Miozzo, Michele; Laiacona, Marcella; Capitani, Erminio","Perseveration During Verbal Fluency in Traumatic Brain Injury Reflects Impairments in Working Memory","NEUROPSYCHOLOGY","English","perseveration; traumatic brain injury; verbal fluency","ALZHEIMERS-DISEASE; INHIBITORY CONTROL; CATEGORY FLUENCY; COGNITIVE IMPAIRMENT; HUNTINGTONS-DISEASE; SEMANTIC FLUENCY; DEFICITS; PERFORMANCE; APHASIA; MILD",1,2,6,"AMER PSYCHOLOGICAL ASSOC",2016,"10.1037/neu0000286","Psychology, Clinical; Neurosciences; Psychology",FALSE,FALSE,"NEUROPSYCHOLOGY",3.286
"30","Segev, S; Shorer, M; Rassovsky, Y; Peleg, TP; Apter, A; Fennig, S","Segev, Shira; Shorer, Maayan; Rassovsky, Yuri; Peleg, Tammy Pilowsky; Apter, Alan; Fennig, Silvana","The Contribution of Posttraumatic Stress Disorder and Mild Traumatic Brain Injury to Persistent Post Concussive Symptoms Following Motor Vehicle Accidents","NEUROPSYCHOLOGY","English","concussion; posttraumatic stress disorder; mild traumatic brain injury; pediatric","CLINICAL-PRACTICE GUIDELINES; POSTCONCUSSIVE SYMPTOMS; VALIDITY TESTS; YOUNG-ADULTS; SELF-REPORT; TEST-SCORES; CHILDREN; PERFORMANCE; ADOLESCENTS; SCALE",1,2,11,"AMER PSYCHOLOGICAL ASSOC",2016,"10.1037/neu0000299","Psychology, Clinical; Neurosciences; Psychology",FALSE,FALSE,"NEUROPSYCHOLOGY",3.286
"31","Dunning, DL; Westgate, B; Adlam, ALR","Dunning, Darren L.; Westgate, Briony; Adlam, Anna-Lynne R.","A Meta-Analysis of Working Memory Impairments in Survivors of Moderate-to-Severe Traumatic Brain Injury","NEUROPSYCHOLOGY","English","TBI; traumatic brain injury; working memory; cognition","DIFFUSE AXONAL INJURY; HEAD-INJURY; EXECUTIVE FUNCTION; FOLLOW-UP; SUSTAINED-ATTENTION; DIVIDED ATTENTION; TASK-PERFORMANCE; SEVERE TBI; SHORT-TERM; CHILDREN",4,0,8,"AMER PSYCHOLOGICAL ASSOC",2016,"10.1037/neu0000285","Psychology, Clinical; Neurosciences; Psychology",FALSE,FALSE,"NEUROPSYCHOLOGY",3.286
"32","Osborne-Crowley, K; McDonald, S","Osborne-Crowley, Katherine; McDonald, Skye","Hyposmia, Not Emotion Perception, Is Associated With Psychosocial Outcome After Severe Traumatic Brain Injury","NEUROPSYCHOLOGY","English","traumatic brain injury (TBI); social disinhibition; hyposmia; smell impairment; emotion perception","SMELL IDENTIFICATION TEST; BLUNT HEAD-INJURY; SOCIAL-PERCEPTION; NEUROPSYCHIATRIC INVENTORY; OLFACTORY DYSFUNCTION; FACIAL EXPRESSION; RECOGNITION; ANOSMIA; BEHAVIOR; DEFICITS",2,3,10,"AMER PSYCHOLOGICAL ASSOC",2016,"10.1037/neu0000293","Psychology, Clinical; Neurosciences; Psychology",FALSE,FALSE,"NEUROPSYCHOLOGY",3.286
"33","Shultz, EL; Hoskinson, KR; Keim, MC; Dennis, M; Taylor, HG; Bigler, ED; Rubin, KH; Vannatta, K; Gerhardt, CA; Stancin, T; Yeates, KO","Shultz, Emily L.; Hoskinson, Kristen R.; Keim, Madelaine C.; Dennis, Maureen; Taylor, H. Gerry; Bigler, Erin D.; Rubin, Kenneth H.; Vannatta, Kathryn; Gerhardt, Cynthia A.; Stancin, Terry; Yeates, Keith Owen","Adaptive Functioning Following Pediatric Traumatic Brain Injury: Relationship to Executive Function and Processing Speed","NEUROPSYCHOLOGY","English","pediatrics; traumatic brain injury; adaptive functioning","QUALITY-OF-LIFE; HEAD-INJURY; CHILDREN; CHILDHOOD; OUTCOMES; SKILLS; PERFORMANCE; PREDICTORS; MEDIATOR; BEHAVIOR",1,2,16,"AMER PSYCHOLOGICAL ASSOC",2016,"10.1037/neu0000288.supp","Psychology, Clinical; Neurosciences; Psychology",FALSE,FALSE,"NEUROPSYCHOLOGY",3.286
"35","Loureiro, IS; Lefebvre, L","Loureiro, Isabelle Simoes; Lefebvre, Laurent","Retrogenesis of Semantic Knowledge: Comparative Approach of Acquisition and Deterioration of Concepts in Semantic Memory","NEUROPSYCHOLOGY","English","lexico-semantic retrogenesis; conceptual development in children; lexico-semantic alteration; Alzheimer's disease","ALZHEIMERS-DISEASE; BASIC-LEVEL; SUPERORDINATE; CATEGORIES; CHILDREN; OBJECTS; SCALE; AGE; ORGANIZATION; DEMENTIA",1,0,9,"AMER PSYCHOLOGICAL ASSOC",2016,"10.1037/neu0000272","Psychology, Clinical; Neurosciences; Psychology",FALSE,FALSE,"NEUROPSYCHOLOGY",3.286
"36","Belfi, AM; Bruss, J; Karlan, B; Abel, TJ; Tranel, D","Belfi, Amy M.; Bruss, Joel; Karlan, Brett; Abel, Taylor J.; Tranel, Daniel","Neural Correlates of Recognition and Naming of Musical Instruments","NEUROPSYCHOLOGY","English","musical instruments; naming; recognition; brain lesions","CATEGORY-SPECIFIC DEFICITS; TEMPORAL POLAR DAMAGE; SELECTIVE IMPAIRMENT; CONCEPTUAL KNOWLEDGE; SEMANTIC IMPAIRMENT; LEXICAL RETRIEVAL; CONCRETE ENTITIES; ALZHEIMERS TYPE; LESION; BRAIN",1,0,3,"AMER PSYCHOLOGICAL ASSOC",2016,"10.1037/neu0000273","Psychology, Clinical; Neurosciences; Psychology",FALSE,FALSE,"NEUROPSYCHOLOGY",3.286
"38","Cassidy, AR; White, MT; DeMaso, DR; Newburger, JW; Bellinger, DC","Cassidy, Adam R.; White, Matthew T.; DeMaso, David R.; Newburger, Jane W.; Bellinger, David C.","Processing Speed, Executive Function, and Academic Achievement in Children With Dextro-Transposition of the Great Arteries: Testing a Longitudinal Developmental Cascade Model","NEUROPSYCHOLOGY","English","cognitive flexibility; congenital heart disease; inhibition; transposition of the great arteries; working memory","CONGENITAL HEART-DISEASE; HYPOTHERMIC CIRCULATORY ARREST; FLOW CARDIOPULMONARY BYPASS; WHITE-MATTER MICROSTRUCTURE; LOW WORKING-MEMORY; INHIBITORY CONTROL; PRESCHOOL-CHILDREN; CARDIAC-SURGERY; BRAIN-INJURY; LIFE-SPAN",4,1,15,"AMER PSYCHOLOGICAL ASSOC",2016,"10.1037/neu0000289","Psychology, Clinical; Neurosciences; Psychology",FALSE,FALSE,"NEUROPSYCHOLOGY",3.286
"39","Arend, I; Aisenberg, D; Henik, A","Arend, Isabel; Aisenberg, Daniela; Henik, Avishai","Social priming of hemispatial neglect affects spatial coding: Evidence from the Simon task","CONSCIOUSNESS AND COGNITION","English","Spatial coding; Social priming; Simon effect; Hemispatial neglect; Achromatopsia","INTERFERENCE; AUTOMATICITY; INFORMATION; BEHAVIOR; STIMULUS",1,5,7,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2016,"10.1016/j.concog.2016.08.008","Psychology, Experimental",FALSE,FALSE,"CONSCIOUSNESS_AND_COGNITION",2.144
"43","Holm, T; Thomsen, DK; Bliksted, V","Holm, Tine; Thomsen, Dorthe Kirkegaard; Bliksted, Vibeke","Life story chapters and narrative self-continuity in patients with schizophrenia","CONSCIOUSNESS AND COGNITION","English","Self-continuity; Life story chapters; Life story coherence; Schizophrenia; Self-defining memories","SEVERE MENTAL-ILLNESS; AUTOBIOGRAPHICAL MEMORY; NEGATIVE SYMPTOMS; PERSONAL NARRATIVES; SUBJECTIVE EXPERIENCE; SOCIAL COGNITION; REMINISCENCE BUMP; DEFINING MEMORIES; SPECTRUM DISORDER; MULTIPLE DOMAINS",3,3,15,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2016,"10.1016/j.concog.2016.08.009","Psychology, Experimental",FALSE,FALSE,"CONSCIOUSNESS_AND_COGNITION",2.144
"44","Imaizumi, S; Asai, T; Koyama, S","Imaizumi, Shu; Asai, Tomohisa; Koyama, Shinichi","Embodied prosthetic arm stabilizes body posture, while unembodied one perturbs it","CONSCIOUSNESS AND COGNITION","English","Self; Agency; Embodiment; Amputation; Upper-limb prosthesis; Postural control","RUBBER HAND ILLUSION; UPPER-LIMB AMPUTEES; PHANTOM LIMB; SENSORIMOTOR INTEGRATION; TOOL-USE; SELF-CONSCIOUSNESS; INTERNAL-MODEL; QUIET STANCE; OWN-BODY; AGENCY",3,0,7,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2016,"10.1016/j.concog.2016.08.019","Psychology, Experimental",FALSE,FALSE,"CONSCIOUSNESS_AND_COGNITION",2.144
"47","Cheung, CN; Lourenco, SF","Cheung, Chi-Ngai; Lourenco, Stella F.","The associations between space and order in numerical and non-numerical sequences","CONSCIOUSNESS AND COGNITION","English","Spatial-numerical associations; SNARC effect; Mental number line (MNL); Working memory","MENTAL NUMBER LINE; FINGER COUNTING HABITS; WORKING-MEMORY ACCOUNT; SPATIAL ASSOCIATIONS; REPRESENTATION; ATTENTION; COGNITION; NEGLECT; MAGNITUDE; MOVEMENTS",2,1,15,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2016,"10.1016/j.concog.2016.08.013","Psychology, Experimental",FALSE,FALSE,"CONSCIOUSNESS_AND_COGNITION",2.144
"49","Chua, EF; Bliss-Moreau, E","Chua, Elizabeth F.; Bliss-Moreau, Eliza","Knowing your heart and your mind: The relationships between metamemory and interoception","CONSCIOUSNESS AND COGNITION","English","Metacognition; Metamemory; Self-knowledge; Heartbeat detection; Interoception; Self-awareness","MEDIAL PREFRONTAL CORTEX; CONFIDENCE-ACCURACY CALIBRATION; MEMORY CONFIDENCE; SELF-REPORT; INDIVIDUAL-DIFFERENCES; EMOTIONAL EXPERIENCE; EYEWITNESS MEMORY; GENERAL KNOWLEDGE; ANTERIOR INSULA; ET-AL.",1,5,13,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2016,"10.1016/j.concog.2016.08.015","Psychology, Experimental",FALSE,FALSE,"CONSCIOUSNESS_AND_COGNITION",2.144
"51","Buckley, RJ; Helton, WS; Innes, CRH; Dalrymple-Alford, JC; Jones, RD","Buckley, Russell J.; Helton, William S.; Innes, Carrie R. H.; Dalrymple-Alford, John C.; Jones, Richard D.","Attention lapses and behavioural microsleeps during tracking, psychomotor vigilance, and dual tasks","CONSCIOUSNESS AND COGNITION","English","Arousal; Attention lapse; Behavioural microsleep; Psychomotor vigilance task; Resource depletion; Task complexity; Tracking","SUSTAINED ATTENTION; PERFORMANCE; MIND; SLEEP; FAILURES; STATES",2,1,4,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2016,"10.1016/j.concog.2016.09.002","Psychology, Experimental",FALSE,FALSE,"CONSCIOUSNESS_AND_COGNITION",2.144
"52","Bachmann, T; Aru, J","Bachmann, Talis; Aru, Jaan","When expectation confounds iconic memory","CONSCIOUSNESS AND COGNITION","English","Iconic memory; Attention; Precision; Prior; Predictive coding","ATTENTION; CONSCIOUSNESS",1,0,2,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2016,"10.1016/j.concog.2016.08.020","Psychology, Experimental",FALSE,FALSE,"CONSCIOUSNESS_AND_COGNITION",2.144
"53","Voltzenlogel, V; Ernst, A; de Seze, J; Brassat, D; Manning, L; Berna, F","Voltzenlogel, Virginie; Ernst, Alexandra; de Seze, Jerome; Brassat, David; Manning, Liliann; Berna, Fabrice","Giving meaning to illness: An investigation of self-defining memories in patients with relapsing-remitting multiple sclerosis patients","CONSCIOUSNESS AND COGNITION","English","Autobiographical memory; Personal identity; Meaning-making; Chronic illness; Multiple sclerosis","RANDOMIZED-CONTROLLED-TRIAL; AUTOBIOGRAPHICAL MEMORY; NARRATIVE IDENTITY; LIFE NARRATIVES; SCALE; SCHIZOPHRENIA; DISABILITY; DEPRESSION; IMPACT; INTEGRATION",1,2,6,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2016,"10.1016/j.concog.2016.09.010","Psychology, Experimental",FALSE,FALSE,"CONSCIOUSNESS_AND_COGNITION",2.144
"55","Speth, J; Schloerscheidt, AM; Speth, C","Speth, Jana; Schloerscheidt, Astrid M.; Speth, Clemens","As we fall asleep we forget about the future: A quantitative linguistic analysis of mentation reports from hypnagogia","CONSCIOUSNESS AND COGNITION","English","Memory for the future; Mental time travel; Sleep onset; Hypnagogic; Hallucination; Dream; REM; Non-REM; States of consciousness; Phenomenology; Subjective experience","DEFAULT-MODE NETWORK; GENERALIZED ANXIETY DISORDER; DIRECT-CURRENT STIMULATION; EYE-MOVEMENT SLEEP; BRAIN-MIND STATES; SLOW-WAVE SLEEP; TIME-TRAVEL; EPISODIC MEMORY; FUNCTIONAL NEUROANATOMY; MOTOR IMAGERY",1,1,6,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2016,"10.1016/j.concog.2016.08.014","Psychology, Experimental",FALSE,FALSE,"CONSCIOUSNESS_AND_COGNITION",2.144
"57","Foster, CM; Picklesimer, ME; Mulligan, NW; Giovanello, KS","Foster, Chris M.; Picklesimer, Milton E.; Mulligan, Neil W.; Giovanello, Kelly S.","The effect of age on relational encoding as revealed by hippocampal functional connectivity","NEUROBIOLOGY OF LEARNING AND MEMORY","English","Aging; Functional connectivity; Relational encoding","RESTING-STATE CONNECTIVITY; DEFAULT-MODE; TALAIRACH ATLAS; MEMORY; BRAIN; TASK; NETWORKS; FMRI; DEACTIVATION; METAANALYSIS",1,0,6,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2016,"10.1016/j.nlm.2016.07.026","Behavioral Sciences; Neurosciences; Psychology; Psychology, Multidisciplinary",FALSE,TRUE,"NEUROBIOLOGY_OF_LEARNING_AND_MEMORY",3.543
"58","Rondina, R; Olsen, RK; McQuiggan, DA; Fatima, Z; Li, LQ; Oziel, E; Meltzer, JA; Ryan, JD","Rondina, Renante, II; Olsen, Rosanna K.; McQuiggan, Douglas A.; Fatima, Zainab; Li, Lingqian; Oziel, Esther; Meltzer, Jed A.; Ryan, Jennifer D.","Age-related changes to oscillatory dynamics in hippocampal and neocortical networks","NEUROBIOLOGY OF LEARNING AND MEMORY","English","Hippocampus; Cortical networks; Relational memory; Magnetoencephalography; Magnetic resonance imaging; Aging","PARTIAL LEAST-SQUARES; BRAIN ELECTRICAL-ACTIVITY; HUMAN THETA-OSCILLATIONS; EVENT-RELATED FMRI; OLDER-ADULTS; WORKING-MEMORY; RECOGNITION MEMORY; ALZHEIMERS-DISEASE; LIFE-SPAN; COGNITIVE NEUROSCIENCE",6,2,17,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2016,"10.1016/j.nlm.2015.11.017","Behavioral Sciences; Neurosciences; Psychology; Psychology, Multidisciplinary",FALSE,TRUE,"NEUROBIOLOGY_OF_LEARNING_AND_MEMORY",3.543
"59","Meng, YG; Hu, XP; Bachevalier, J; Zhang, XD","Meng, Yuguang; Hu, Xiaoping; Bachevalier, Jocelyne; Zhang, Xiaodong","Decreased functional connectivity in dorsolateral prefrontal cortical networks in adult macaques with neonatal hippocampal lesions: Relations to visual working memory deficits","NEUROBIOLOGY OF LEARNING AND MEMORY","English","Resting state fMRI; Functional connectivity; Rhesus monkey","INFERIOR TEMPORAL CORTEX; LATERAL FRONTAL-CORTEX; RHESUS MACAQUES; INFEROTEMPORAL CORTEX; UNCINATE FASCICLE; CINGULATE CORTEX; NEURAL SYSTEM; MONKEY BRAIN; MOTOR AREAS; SCHIZOPHRENIA",3,1,3,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2016,"10.1016/j.nlm.2016.04.003","Behavioral Sciences; Neurosciences; Psychology; Psychology, Multidisciplinary",FALSE,TRUE,"NEUROBIOLOGY_OF_LEARNING_AND_MEMORY",3.543
"61","Berkers, RMWJ; Klumpers, F; Fernandez, G","Berkers, Ruud M. W. J.; Klumpers, Floris; Fernandez, Guillen","Medial prefrontal-hippocampal connectivity during emotional memory encoding predicts individual differences in the loss of associative memory specificity","NEUROBIOLOGY OF LEARNING AND MEMORY","English","Emotional memory; Hippocampus; Medial prefrontal cortex; Memory specificity; Encoding; fMRI","POSTTRAUMATIC-STRESS-DISORDER; EVENT-RELATED FMRI; AUTOBIOGRAPHICAL MEMORY; RECOLLECTION NETWORK; FLASHBULB MEMORIES; MODULATES ACTIVITY; AMYGDALA ACTIVITY; ENHANCED MEMORY; BRAIN-FUNCTION; LONG-AXIS",4,1,8,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2016,"10.1016/j.nlm.2016.01.016","Behavioral Sciences; Neurosciences; Psychology; Psychology, Multidisciplinary",FALSE,TRUE,"NEUROBIOLOGY_OF_LEARNING_AND_MEMORY",3.543
"62","Murty, VP; LaBar, KS; Adcock, RA","Murty, Vishnu P.; LaBar, Kevin S.; Adcock, R. Alison","Distinct medial temporal networks encode surprise during motivation by reward versus punishment","NEUROBIOLOGY OF LEARNING AND MEMORY","English","Reward; Punishment; Motivation; Surprise; fMRI; Connectivity; Memory","LONG-TERM-MEMORY; NUCLEUS-ACCUMBENS DOPAMINE; PATTERN SEPARATION; ORBITOFRONTAL CORTEX; MESOLIMBIC SYSTEM; NEURAL RESPONSES; DECISION-MAKING; RAT HIPPOCAMPUS; ANTICIPATION; ACTIVATION",3,4,14,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2016,"10.1016/j.nlm.2016.01.018","Behavioral Sciences; Neurosciences; Psychology; Psychology, Multidisciplinary",FALSE,TRUE,"NEUROBIOLOGY_OF_LEARNING_AND_MEMORY",3.543
"63","Loh, E; Kumaran, D; Koster, R; Berron, D; Dolan, R; Duzel, E","Loh, Eleanor; Kumaran, Dharshan; Koster, Raphael; Berron, David; Dolan, Ray; Duzel, Emrah","Context-specific activation of hippocampus and SN/VTA by reward is related to enhanced long-term memory for embedded objects","NEUROBIOLOGY OF LEARNING AND MEMORY","English","Hippocampus; Reward; Dopamine; Pattern-separation; Memory; Context","VENTRAL TEGMENTAL AREA; NUCLEUS-ACCUMBENS; PATTERN SEPARATION; DENTATE GYRUS; DOPAMINERGIC MIDBRAIN; EPISODIC MEMORY; 7 T; FMRI; PERSISTENCE; MODULATION",1,2,4,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2016,"10.1016/j.nlm.2015.11.018","Behavioral Sciences; Neurosciences; Psychology; Psychology, Multidisciplinary",FALSE,TRUE,"NEUROBIOLOGY_OF_LEARNING_AND_MEMORY",3.543
