"","AU","AF","TI","SO","LA","DE","ID","Z9","U1","U2","PU","PY","DI","WC","ANIMAL","FMRI_AB","JOUR","IF"
"11","Morewedge, CK; Buechel, EC","Morewedge, Carey K.; Buechel, Eva C.","Motivated Underpinnings of the Impact Bias in Affective Forecasts","EMOTION","English","affective forecasting; motivation; motivated reasoning; happiness; impact bias","DECISION-MAKING; DURABILITY BIAS; BEHAVIOR; MISPREDICTION; ANTICIPATION; PREDICTIONS; EXPERIENCE; ILLUSIONS; JUDGMENTS; AWARENESS",8,0,16,"AMER PSYCHOLOGICAL ASSOC",2013,"10.1037/a0033797","Psychology, Experimental",FALSE,FALSE,"EMOTION",3.371
"12","Lee, NC; Krabbendam, L; White, TP; Meeter, M; Banaschewski, T; Barker, GJ; Bokde, ALW; Buchel, C; Conrod, P; Flor, H; Frouin, V; Heinz, A; Garavan, H; Gowland, P; Ittermann, B; Mann, K; Martinot, MLP; Nees, F; Paus, T; Pausova, Z; Rietschel, M; Robbins, T; Fauth-Buhler, M; Smolka, MN; Gallinat, J; Schumann, G; Shergill, SS","Lee, Nikki C.; Krabbendam, Lydia; White, Thomas P.; Meeter, Martijn; Banaschewski, Tobias; Barker, Gareth J.; Bokde, Arun L. W.; Buechel, Christian; Conrod, Patricia; Flor, Herta; Frouin, Vincent; Heinz, Andreas; Garavan, Hugh; Gowland, Penny; Ittermann, Bernd; Mann, Karl; Martinot, Marie-Laure Paillere; Nees, Frauke; Paus, Tomas; Pausova, Zdenka; Rietschel, Marcella; Robbins, Trevor; Fauth-Buehler, Mira; Smolka, Michael N.; Gallinat, Juergen; Schumann, Gunther; Shergill, Sukhi S.","Do You See What I See? Sex Differences in the Discrimination of Facial Emotions During Adolescence","EMOTION","English","adolescence; emotion recognition; facial expressions; puberty","GENDER-DIFFERENCES; EXPRESSION RECOGNITION; PUBERTAL DEVELOPMENT; DEVELOPMENTAL EXAMINATION; AMYGDALA RESPONSES; BRAIN-DEVELOPMENT; STRESS EXPOSURE; FACE PERCEPTION; LATE CHILDHOOD; CHILDREN",7,1,36,"AMER PSYCHOLOGICAL ASSOC",2013,"10.1037/a0033560","Psychology, Experimental",FALSE,FALSE,"EMOTION",3.371
"13","Knight, M; Ponzio, A","Knight, Marisa; Ponzio, Allison","The Effects of Emotion Regulation on Explicit Memory Depend on Strategy and Testing Method","EMOTION","English","arousal; emotion regulation; memory; reappraisal; valence","HUMAN AMYGDALA; SUBSEQUENT MEMORY; PREFRONTAL CORTEX; COGNITIVE CONTROL; MECHANISMS; RESPONSES; STIMULI; EVENTS; NEUROSCIENCE; ENHANCEMENT",5,0,28,"AMER PSYCHOLOGICAL ASSOC",2013,"10.1037/a0033533","Psychology, Experimental",FALSE,FALSE,"EMOTION",3.371
"14","Wang, MJ; Saudino, KJ","Wang, Manjie; Saudino, Kimberly J.","Genetic and Environmental Influences on Individual Differences in Emotion Regulation and Its Relation to Working Memory in Toddlerhood","EMOTION","English","emotion regulation; working memory; genetics; twins; toddlerhood","METHYLTRANSFERASE VAL(158)MET GENOTYPE; GENERAL FLUID INTELLIGENCE; LONGITUDINAL DATA-ANALYSIS; SHORT-TERM-MEMORY; LOW-BIRTH-WEIGHT; SELF-REGULATION; EARLY-CHILDHOOD; REGULATION STRATEGIES; PREFRONTAL CORTEX; NEURAL MECHANISMS",6,1,26,"AMER PSYCHOLOGICAL ASSOC",2013,"10.1037/a0033784","Psychology, Experimental",FALSE,FALSE,"EMOTION",3.371
"15","Haase, CM; Saslow, LR; Bloch, L; Saturn, SR; Casey, JJ; Seider, BH; Lane, J; Coppola, G; Levenson, RW","Haase, Claudia M.; Saslow, Laura R.; Bloch, Lian; Saturn, Sarina R.; Casey, James J.; Seider, Benjamin H.; Lane, Jessica; Coppola, Giovanni; Levenson, Robert W.","The 5-HTTLPR Polymorphism in the Serotonin Transporter Gene Moderates the Association Between Emotional Behavior and Changes in Marital Satisfaction Over Time","EMOTION","English","emotional behavior; genetic polymorphisms; 5-HTTLPR; relationships","STRESSFUL LIFE EVENTS; LONG-TERM MARRIAGE; PROMOTER POLYMORPHISM; ENVIRONMENTAL-INFLUENCES; DIFFERENTIAL SUSCEPTIBILITY; LONGITUDINAL COURSE; DEPRESSION; METAANALYSIS; HEALTH; PHYSIOLOGY",17,1,16,"AMER PSYCHOLOGICAL ASSOC",2013,"10.1037/a0033761","Psychology, Experimental",FALSE,FALSE,"EMOTION",3.371
"16","Grafton, B; MacLeod, C","Grafton, Ben; MacLeod, Colin","Don't Start What You Can't Stop: Differentiating Individual Differences in Ruminative Onset and Ruminative Persistence, and Their Contributions to Dysphoria","EMOTION","English","rumination; ruminative onset; ruminative persistence; dysphoria","REPRESENT DISSOCIABLE DIMENSIONS; RESPONSE STYLES THEORY; DEPRESSED MOOD; TRAIT ANXIETY; REACTIVITY; INVENTORY; EXTENSION; SYMPTOMS; STRESS",4,0,5,"AMER PSYCHOLOGICAL ASSOC",2013,"10.1037/a0033876","Psychology, Experimental",FALSE,FALSE,"EMOTION",3.371
"17","Kunzmann, U; Richter, D; Schmukle, SC","Kunzmann, Ute; Richter, David; Schmukle, Stefan C.","Stability and Change in Affective Experience Across the Adult Life Span: Analyses With a National Sample From Germany","EMOTION","English","sadness; anger; happiness; aging; affect","AGE-DIFFERENCES; INTERPERSONAL TENSIONS; EMOTIONAL REACTIVITY; NEGATIVE AFFECT; OLD-AGE; RESPONSES; SADNESS; AROUSAL; PERSONALITY; DIFFERENCE",17,0,7,"AMER PSYCHOLOGICAL ASSOC",2013,"10.1037/a0033572","Psychology, Experimental",FALSE,FALSE,"EMOTION",3.371
"18","Judah, MR; Grant, DM; Mills, AC; Lechner, WV","Judah, Matt R.; Grant, DeMond M.; Mills, Adam C.; Lechner, William V.","The Neural Correlates of Impaired Attentional Control in Social Anxiety: An ERP Study of Inhibition and Shifting","EMOTION","English","social anxiety; self-focused attention; ERPs; inhibition; attentional control","PROCESSING EFFICIENCY THEORY; ANTISACCADE TASK; TRAIT ANXIETY; EMOTIONAL DISTRACTION; COGNITIVE PERFORMANCE; WORKING-MEMORY; POTENTIALS; PARADIGM; PHOBIA; BIASES",12,3,37,"AMER PSYCHOLOGICAL ASSOC",2013,"10.1037/a0033531","Psychology, Experimental",FALSE,FALSE,"EMOTION",3.371
"19","Sheikh, NA; Titone, DA","Sheikh, Naveed A.; Titone, Debra A.","Sensorimotor and Linguistic Information Attenuate Emotional Word Processing Benefits: An Eye-Movement Study","EMOTION","English","emotion; word representation; embodied cognition; sensorimotor; frequency","TORONTO-ALEXITHYMIA-SCALE; EVENT-RELATED POTENTIALS; E-Z-READER; CONTEXT AVAILABILITY; LEXICAL DECISIONS; CONCRETE WORDS; ABSTRACT WORDS; ATTENTION; SYSTEMS; PERCEPTION",11,0,15,"AMER PSYCHOLOGICAL ASSOC",2013,"10.1037/a0032417","Psychology, Experimental",FALSE,FALSE,"EMOTION",3.371
"20","Park, J; Kitayama, S; Markus, HR; Coe, CL; Miyamoto, Y; Karasawa, M; Curhan, KB; Love, GD; Kawakami, N; Boylan, JM; Ryff, CD","Park, Jiyoung; Kitayama, Shinobu; Markus, Hazel R.; Coe, Christopher L.; Miyamoto, Yuri; Karasawa, Mayumi; Curhan, Katherine B.; Love, Gayle D.; Kawakami, Norito; Boylan, Jennifer Morozink; Ryff, Carol D.","Social Status and Anger Expression: The Cultural Moderation Hypothesis","EMOTION","English","anger expression; culture; social status; independence and interdependence","INTIMATE PARTNER VIOLENCE; CORONARY-HEART-DISEASE; INDIVIDUAL-DIFFERENCES; SOCIOECONOMIC-STATUS; EMOTION REGULATION; UNITED-STATES; SELF; EXPERIENCE; COGNITION; BEHAVIOR",22,2,27,"AMER PSYCHOLOGICAL ASSOC",2013,"10.1037/a0034273","Psychology, Experimental",FALSE,FALSE,"EMOTION",3.371
"21","Koval, P; Pe, ML; Meers, K; Kuppens, P","Koval, Peter; Pe, Madeline L.; Meers, Kristof; Kuppens, Peter","Affect Dynamics in Relation to Depressive Symptoms: Variable, Unstable or Inert?","EMOTION","English","depression; emotion/affect dynamics; inertia; variability; instability","EMOTIONAL INERTIA; AFFECTIVE INSTABILITY; INDIVIDUAL-DIFFERENCES; MOOD VARIABILITY; DISORDER; REACTIVITY; EXPERIENCE; STRESS; PSYCHOPATHOLOGY; PERSONALITY",29,1,21,"AMER PSYCHOLOGICAL ASSOC",2013,"10.1037/a0033579","Psychology, Experimental",FALSE,FALSE,"EMOTION",3.371
"22","Chan, KQ; Tong, EMW; Tan, DH; Koh, AHQ","Chan, Kai Qin; Tong, Eddie M. W.; Tan, Deborah H.; Koh, Alethea H. Q.","What do Love and Jealousy Taste Like?","EMOTION","English","love; jealousy; embodiment; metaphor; taste","ROMANTIC LOVE; EMBODIMENT; PERCEPTION; EMOTION; REPRESENTATION; BRAIN",7,0,50,"AMER PSYCHOLOGICAL ASSOC",2013,"10.1037/a0033758","Psychology, Experimental",FALSE,FALSE,"EMOTION",3.371
"23","Kashdan, TB; McKnight, PE","Kashdan, Todd B.; McKnight, Patrick E.","Commitment to a Purpose in Life: An Antidote to the Suffering by Individuals With Social Anxiety Disorder","EMOTION","English","social anxiety disorder; purpose in life; experience-sampling; major depressive disorder","PERSONAL GOALS; SELF-ESTEEM; POSITIVE EXPERIENCES; WORK ENGAGEMENT; DAILY EVENTS; AVOIDANCE; SATISFACTION; THERAPY; TRAITS; PHOBIA",6,3,20,"AMER PSYCHOLOGICAL ASSOC",2013,"10.1037/a0033278","Psychology, Experimental",FALSE,FALSE,"EMOTION",3.371
"24","Luebbe, AM; Fussner, LM; Kiel, EJ; Early, MC; Bell, DJ","Luebbe, Aaron M.; Fussner, Lauren M.; Kiel, Elizabeth J.; Early, Martha C.; Bell, Debora J.","Role of Adolescent and Maternal Depressive Symptoms on Transactional Emotion Recognition: Context and State Affect Matter","EMOTION","English","depression; adolescence; emotion recognition; maternal depression","FACIAL EXPRESSIONS; COGNITIVE BIASES; IDENTIFICATION; EXPERIENCE; DISORDER; DISCRIMINATION; SCHIZOPHRENIA; METAANALYSIS; PERCEPTION; CHILDHOOD",2,3,11,"AMER PSYCHOLOGICAL ASSOC",2013,"10.1037/a0033923","Psychology, Experimental",FALSE,FALSE,"EMOTION",3.371
"25","Papousek, I; Reiser, EM; Schulter, G; Fink, A; Holmes, EA; Niederstatter, H; Nagl, S; Parson, W; Weiss, EM","Papousek, Ilona; Reiser, Eva M.; Schulter, Guenter; Fink, Andreas; Holmes, Emily A.; Niederstaetter, Harald; Nagl, Simone; Parson, Walther; Weiss, Elisabeth M.","Serotonin Transporter Genotype (5-HTTLPR) and Electrocortical Responses Indicating the Sensitivity to Negative Emotional Cues","EMOTION","English","EEG asymmetry; genetic polymorphisms; emotional reactivity; withdrawal motivation","FRONTAL EEG ASYMMETRY; POSTTRAUMATIC-STRESS-DISORDER; O-METHYLTRANSFERASE GENE; REGIONAL BRAIN ACTIVITY; INDIVIDUAL-DIFFERENCES; PREFRONTAL CORTEX; COGNITIVE TASKS; METHODOLOGICAL ISSUES; CONTAGION PARADIGM; CEREBRAL ASYMMETRY",11,0,16,"AMER PSYCHOLOGICAL ASSOC",2013,"10.1037/a0033997","Psychology, Experimental",FALSE,FALSE,"EMOTION",3.371
"26","Marin-Garcia, E; Ruiz-Vargas, JM; Kapur, N","Marin-Garcia, Eugenia; Ruiz-Vargas, Jose M.; Kapur, Narinder","Mere exposure effect can be elicited in transient global amnesia","JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY","English","Mere exposure effect; Transient global amnesia; Amnesia; Memory disorders; Memory","ALZHEIMERS-DISEASE; MEMORY; RECOGNITION; PREFERENCE; PET",2,0,10,"TAYLOR & FRANCIS INC",2013,"10.1080/13803395.2013.844774","Psychology, Clinical; Clinical Neurology; Psychology",FALSE,FALSE,"JOURNAL_OF_CLINICAL_AND_EXPERIMENTAL_NEUROPSYCHOLOGY",2.158
"27","Sung, K; Gordon, B; Yang, S; Schretlen, DJ","Sung, Kyongje; Gordon, Barry; Yang, Sujeong; Schretlen, David J.","Evidence of semantic clustering in letter-cued word retrieval","JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY","English","Verbal fluency; Cued-word retrieval; Semantic system; Clustering; Switching","SINGULAR-VALUE DECOMPOSITION; VERBAL FLUENCY PERFORMANCE; CATEGORY FLUENCY; SWITCHING STRATEGIES; QUALITATIVE-ANALYSIS; ALZHEIMERS-DISEASE; HEALTHY-ADULTS; SCHIZOPHRENIA; AGE; RECALL",4,0,5,"TAYLOR & FRANCIS INC",2013,"10.1080/13803395.2013.845141","Psychology, Clinical; Clinical Neurology; Psychology",FALSE,FALSE,"JOURNAL_OF_CLINICAL_AND_EXPERIMENTAL_NEUROPSYCHOLOGY",2.158
"28","Giogkaraki, E; Michaelides, MP; Constantinidou, F","Giogkaraki, Erasmia; Michaelides, Michalis P.; Constantinidou, Fofi","The role of cognitive reserve in cognitive aging: Results from the neurocognitive study on aging","JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY","English","Aging; Cognitive reserve; Education; Episodic memory; Executive function","BRAIN RESERVE; FIT INDEXES; EXECUTIVE FUNCTIONS; CONSTRUCT-VALIDITY; NORMATIVE DATA; AGE; MEMORY; EDUCATION; DEMENTIA; DECLINE",8,2,12,"TAYLOR & FRANCIS INC",2013,"10.1080/13803395.2013.847906","Psychology, Clinical; Clinical Neurology; Psychology",FALSE,FALSE,"JOURNAL_OF_CLINICAL_AND_EXPERIMENTAL_NEUROPSYCHOLOGY",2.158
"29","Arentoft, A; Thames, AD; Panos, S; Patel, S; Hinkin, CH","Arentoft, Alyssa; Thames, April D.; Panos, Stella; Patel, Sapna; Hinkin, Charles H.","A deconstruction of gambling task performance among HIV plus individuals: The differential contributions of problem solving and risk taking","JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY","English","Neuropsychology; HIV; Decision making; Executive function; Risk taking","DECISION-MAKING DEFICITS; HUMAN PREFRONTAL CORTEX; SENSATION SEEKING; FUTURE CONSEQUENCES; INFECTION; ADULTS; INSENSITIVITY; IMPULSIVITY; SEROSTATUS; DISEASE",4,0,7,"TAYLOR & FRANCIS INC",2013,"10.1080/13803395.2013.848842","Psychology, Clinical; Clinical Neurology; Psychology",FALSE,FALSE,"JOURNAL_OF_CLINICAL_AND_EXPERIMENTAL_NEUROPSYCHOLOGY",2.158
"30","Keifer, E; Tranel, D","Keifer, Ekaterina; Tranel, Daniel","A neuropsychological investigation of the Delis-Kaplan Executive Function System","JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY","English","Prefrontal lesions; Delis-Kaplan Executive Function System; Executive function; Frontal lobe; Ventromedial prefrontal cortex","PREFRONTAL CORTEX LESIONS; D-KEFS; TEST-PERFORMANCE; DECISION-MAKING; VARIABILITY; DAMAGE",9,2,17,"TAYLOR & FRANCIS INC",2013,"10.1080/13803395.2013.854319","Psychology, Clinical; Clinical Neurology; Psychology",FALSE,FALSE,"JOURNAL_OF_CLINICAL_AND_EXPERIMENTAL_NEUROPSYCHOLOGY",2.158
"31","Potter, GG; Madden, DJ; Costello, MC; Steffens, DC","Potter, Guy G.; Madden, David J.; Costello, Mathew C.; Steffens, David C.","Reduced comparison speed during visual search in late life depression","JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY","English","Depression; Aging; Cognition; Visual search; Reaction time","MILD COGNITIVE IMPAIRMENT; ADULT AGE-DIFFERENCES; GERIATRIC DEPRESSION; MAJOR DEPRESSION; PROCESSING-SPEED; EXECUTIVE DYSFUNCTION; PARKINSONS-DISEASE; ATTENTION; DISORDER; STATE",2,0,2,"TAYLOR & FRANCIS INC",2013,"10.1080/13803395.2013.856381","Psychology, Clinical; Clinical Neurology; Psychology",FALSE,FALSE,"JOURNAL_OF_CLINICAL_AND_EXPERIMENTAL_NEUROPSYCHOLOGY",2.158
"32","Campbell, JA; Samartgis, JR; Crowe, SF","Campbell, James A.; Samartgis, Jodi R.; Crowe, Simon F.","Impaired decision making on the Balloon Analogue Risk Task as a result of long-term alcohol use","JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY","English","Alcohol abuse; Balloon Analogue Risk Task; Cognition; Decision making; Wisconsin Card Sort Test","NON-KORSAKOFF ALCOHOLICS; PREFRONTAL CORTEX; DAMAGE; BRAIN; BART; STIMULATION; PERFORMANCE; DEPENDENCE; AMBIGUITY; AGE",10,0,16,"TAYLOR & FRANCIS INC",2013,"10.1080/13803395.2013.856382","Psychology, Clinical; Clinical Neurology; Psychology",FALSE,FALSE,"JOURNAL_OF_CLINICAL_AND_EXPERIMENTAL_NEUROPSYCHOLOGY",2.158
"33","Wilkins, LK; Girard, TA; King, J; King, MJ; Herdman, KA; Christensen, BK; King, J","Wilkins, Leanne K.; Girard, Todd A.; King, Jelena; King, Matthew J.; Herdman, Katherine A.; Christensen, Bruce K.; King, John","Spatial-memory deficit in schizophrenia spectrum disorders under viewpoint-independent demands in the virtual courtyard task","JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY","English","Schizophrenia; Viewpoint-independent; Viewpoint-dependent; Spatial memory; Hippocampus","1ST-EPISODE SCHIZOPHRENIA; MENTAL ROTATIONS; CAUDATE-NUCLEUS; WATER MAZE; HIPPOCAMPUS; SYSTEMS; METAANALYSIS; INFORMATION; REALITY; MODEL",4,4,7,"TAYLOR & FRANCIS INC",2013,"10.1080/13803395.2013.857389","Psychology, Clinical; Clinical Neurology; Psychology",FALSE,FALSE,"JOURNAL_OF_CLINICAL_AND_EXPERIMENTAL_NEUROPSYCHOLOGY",2.158
"34","Borges, JG; Ginani, GE; Hachul, H; Cintra, FD; Tufik, S; Pompeia, S","Borges, Juliane Goldoni; Ginani, Giuliano Emerenciano; Hachul, Helena; Cintra, Fatima Dumas; Tufik, Sergio; Pompeia, Sabine","Executive functioning in obstructive sleep apnea syndrome patients without comorbidities: Focus on the fractionation of executive functions","JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY","English","Obstructive sleep apnea syndrome; Executive functions; Working memory; Cognitive impairment; Comorbidities; Obesity","LATENT-VARIABLE ANALYSIS; LONG-TERM EFFICACY; WORKING-MEMORY; HEART HEALTH; NEUROCOGNITIVE FUNCTION; INCIDENT STROKE; FOLLOW-UP; HYPOPNEA; HYPERTENSION; PERFORMANCE",8,2,7,"TAYLOR & FRANCIS INC",2013,"10.1080/13803395.2013.858661","Psychology, Clinical; Clinical Neurology; Psychology",FALSE,FALSE,"JOURNAL_OF_CLINICAL_AND_EXPERIMENTAL_NEUROPSYCHOLOGY",2.158
"35","Beaty, RE; Burgin, CJ; Nusbaum, EC; Kwapil, TR; Hodges, DA; Silvia, PJ","Beaty, Roger E.; Burgin, Chris J.; Nusbaum, Emily C.; Kwapil, Thomas R.; Hodges, Donald A.; Silvia, Paul J.","Music to the inner ears: Exploring individual differences in musical imagery","CONSCIOUSNESS AND COGNITION","English","Musical imagery; Earworms; Experience sampling method; Personality","EVERYDAY LIFE; EXPERIENCE; PERSONALITY; HEAD",12,2,27,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2013,"10.1016/j.concog.2013.07.006","Psychology, Experimental",FALSE,FALSE,"CONSCIOUSNESS_AND_COGNITION",2.235
"36","Cravo, AM; Haddad, H; Claessens, PME; Baldo, MVC","Cravo, Andre M.; Haddad, Hamilton; Claessens, Peter M. E.; Baldo, Marcus V. C.","Bias and learning in temporal binding: Intervals between actions and outcomes are compressed by prior bias","CONSCIOUSNESS AND COGNITION","English","Intentional binding; Learning; Time perception; Voluntary action","TIME PERCEPTION; RECALIBRATION; AGENCY; SENSE; CAUSATION; INFERENCE; AWARENESS",7,0,14,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2013,"10.1016/j.concog.2013.08.001","Psychology, Experimental",FALSE,FALSE,"CONSCIOUSNESS_AND_COGNITION",2.235
